ngram,matrix_size,accuracy,precision,recall,f1,model
1,1000,0.679080229942514,0.675239131033773,0.679080229942514,0.672620263122386,LR
1,3000,0.787428142964258,0.785626647216963,0.787428142964258,0.785009057294968,LR
2,1000,0.488127968007998,0.487660163057953,0.488127968007998,0.463587484234338,LR
2,3000,0.5047488127968,0.513242939128266,0.5047488127968,0.481310532033252,LR
3,1000,0.454261434641339,0.471294187478771,0.454261434641339,0.422004279946086,LR
3,3000,0.466633341664583,0.482106103564515,0.466633341664583,0.436646458925663,LR
4,1000,0.463384153961509,0.529868718236954,0.463384153961509,0.425583069733351,LR
4,3000,0.459885028742814,0.4714981240519,0.459885028742814,0.426656577444685,LR
1,1000,0.608472881779555,0.669741140199835,0.608472881779555,0.574141052586534,DT
1,3000,0.629467633091727,0.733112569377833,0.629467633091727,0.593142831366671,DT
2,1000,0.449637590602349,0.510541298295853,0.449637590602349,0.372449609131995,DT
2,3000,0.459135216195951,0.581870444401298,0.459135216195951,0.36342526438157,DT
3,1000,0.432266933266683,0.529243180692174,0.432266933266683,0.338757863770136,DT
3,3000,0.427518120469882,0.562515927675021,0.427518120469882,0.307667979686341,DT
4,1000,0.418520369907523,0.61412456289722,0.418520369907523,0.254683107471216,DT
4,3000,0.419895026243439,0.647032224359137,0.419895026243439,0.257262834301489,DT
1,1000,0.677455636090977,0.673982031599342,0.677455636090977,0.669974654088564,SVM
1,3000,0.791677080729817,0.790554178390614,0.791677080729817,0.789058623485678,SVM
2,1000,0.489002749312671,0.496082641561784,0.489002749312671,0.462285973854659,SVM
2,3000,0.501749562609347,0.501374173209849,0.501749562609347,0.481961558496996,SVM
3,1000,0.456385903524118,0.495445340722692,0.456385903524118,0.422198404645452,SVM
3,3000,0.467883029242689,0.466052342854715,0.467883029242689,0.440901059674927,SVM
4,1000,0.465133716570857,0.517243890733736,0.465133716570857,0.428803649080417,SVM
4,3000,0.459635091227193,0.455416987967081,0.459635091227193,0.429733351767135,SVM
1,1000,0.631858407079646,0.707387082583762,0.631858407079646,0.578111149339961,RF
1,3000,0.681163084702907,0.754498829226762,0.681163084702907,0.623500610386642,RF
2,1000,0.476359039190897,0.577150075106199,0.476359039190897,0.430926798539903,RF
2,3000,0.47787610619469,0.578209804933124,0.47787610619469,0.432143348219729,RF
3,1000,0.445132743362831,0.551380513296596,0.445132743362831,0.382874649734222,RF
3,3000,0.432490518331226,0.57525270521682,0.432490518331226,0.297603352101542,RF
4,1000,0.441466498103666,0.560677284748386,0.441466498103666,0.347970062032753,RF
4,3000,0.431226295828065,0.591633189615077,0.431226295828065,0.288563598064865,RF
1,1000,0.513021491782553,0.571563577332665,0.513021491782553,0.480444777464808,KNN
1,3000,0.535018963337547,0.609679724857907,0.535018963337547,0.501809828195032,KNN
2,1000,0.43843236409608,0.567405837465046,0.43843236409608,0.340411898245733,KNN
2,3000,0.454361567635903,0.561087148963394,0.454361567635903,0.375862960267468,KNN
3,1000,0.431352718078381,0.48387618222885,0.431352718078381,0.358494812972779,KNN
3,3000,0.446396965865992,0.490421639218877,0.446396965865992,0.397906999071606,KNN
4,1000,0.425410872313527,0.461579388199232,0.425410872313527,0.349812610244674,KNN
4,3000,0.435903919089759,0.461033974988188,0.435903919089759,0.392538804092277,KNN
